,Grade_11,Grade_18,Grade_26,Grade_27,Grade_28,Grade_6
Grade_11,0.0,0.0,0.2673241333333333,0.2586386666666667,0.18410253333333332,0.17487166666666668
Grade_18,0.0,0.0,0.2672068,0.257779,0.0,0.19862813333333332
Grade_26,0.19700206666666667,0.198043,0.0,0.2320224,0.05949492000000001,0.207916
Grade_27,0.31971493333333334,0.3079966666666667,0.2611406666666667,0.0,0.32796706666666664,0.32199
Grade_28,0.10557033333333334,0.0,0.11280046666666665,0.235798,0.0,0.19934079999999998
Grade_6,0.07183106666666667,0.14480606666666668,0.24751906666666665,0.23807419999999999,0.16199866666666668,0.0
